id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,fecha_inicio_poliza,fecha_fin_poliza,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,etiqueta_fraude_simulada,latitude,longitude
SIN-0023,POL-0023,ASE-C2C56C0E,Vehículos,Robo Total,2026-02-25,2026-03-02,22500.0,21375.0,0.0,Reserva,Quito Norte,Vehículo robado; denuncia 5 días después; documentación incompleta.,no,,2025-08-29,2026-08-29,180,185,5,0,1,-0.22022710849124905,-78.4863685797105
SIN-0024,POL-0024,ASE-42F598BC,Vehículos,Robo Parcial,2026-02-25,2026-03-07,7200.0,6840.0,0.0,Reserva,Guayaquil Centro,Robo con denuncia tardía y reporte tardío al asegurador.,sí,,2025-08-29,2026-08-29,180,185,10,0,0,-2.1093220472395697,-79.9417058456203
SIN-0025,POL-0025,ASE-A1B06D01,Vehículos,Daños,2026-02-25,2026-02-27,10000.0,9500.0,0.0,Reserva,Quito Norte,Colisión en autopista; narrativa idéntica a caso previo SIN-F030.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-0.21572118679325714,-78.48075741829581
SIN-0026,POL-0026,ASE-C18C40D5,Vehículos,Colisión,2026-02-25,2026-02-28,13200.0,12540.0,0.0,Reserva,Guayaquil Centro,Narrativa clonada detectada; documentación incompleta.,no,,2025-08-29,2026-08-29,180,185,3,0,0,-2.0634664468160597,-79.89001746278015
SIN-0027,POL-0027,ASE-F2F55A89,Vehículos,Todo Riesgo,2026-02-25,2026-02-27,10450.0,9927.5,0.0,Reserva,Cuenca,Narrativa idéntica a caso SIN-F031 con dinámica inconsistente.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-2.8619198399999997,-78.98830688000001
SIN-0028,POL-0028,ASE-1064FE87,Vehículos,Daños Parciales,2026-02-25,2026-03-07,6300.0,5985.0,0.0,Reserva,Quito Norte,Siniestro a 7 días del inicio; historial elevado; reporte tardío.,sí,,2026-02-18,2027-02-18,7,358,10,0,0,-0.19402444341676106,-78.45890857457303
SIN-0029,POL-0029,ASE-909F0DEA,Vehículos,Colisión,2026-02-25,2026-02-27,9000.0,8550.0,0.0,Reserva,Guayaquil Centro,Frecuencia alta asegurado+conductor; proveedor observado; docs incompletos.,no,,2025-08-29,2026-08-29,180,185,2,0,0,-2.2211867200000004,-79.94517104
SIN-0030,POL-0030,ASE-60041A71,Vehículos,Todo Riesgo,2026-02-25,2026-03-05,11000.0,10450.0,0.0,Reserva,Cuenca,"Múltiples señales: inicio póliza, frecuencia conductor, dinámica anómala.",sí,,2026-02-18,2027-02-18,7,358,8,0,0,-2.898117,-79.00955900000001
SIN-0031,POL-0031,ASE-BC2BF938,Vehículos,Responsabilidad Civil,2026-02-25,2026-02-27,3000.0,2850.0,0.0,Reserva,Quito Norte,Alta frecuencia vehículo+conductor+asegurado+RC; docs incompletos.,no,,2025-08-29,2026-08-29,180,185,2,0,0,-0.18792056619787126,-78.42203251820749
SIN-0032,POL-0032,ASE-EC10FC99,Vehículos,Daños,2026-02-25,2026-03-02,11000.0,10450.0,0.0,Reserva,Guayaquil Centro,Siniestro temprano; proveedor observado; inconsistencia documental.,sí,,2026-02-18,2027-02-18,7,358,5,0,0,-2.1518238800000002,-79.90702815999998
SIN-0033,POL-0033,ASE-750BE6A1,Vehículos,Daños,2026-02-25,2026-02-27,23280.0,22116.0,0.0,Reserva,Guayaquil Centro,Asegurado frecuente; proveedor observado; dinámica anómala; daño sin rastro.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-2.1468040399999997,-79.87997571999999
SIN-0034,POL-0034,ASE-C60521F9,Vehículos,Pérdida Parcial,2026-02-25,2026-03-05,7200.0,6840.0,0.0,Reserva,Ambato,Inicio de póliza + frecuencia alta vehículo+asegurado + docs tardíos.,no,,2026-02-18,2027-02-18,7,358,8,0,0,-1.2381914389119648,-78.57915913973181
SIN-0035,POL-0035,ASE-76AB06CE,Vehículos,Colisión,2026-02-25,2026-02-27,18200.0,17290.0,0.0,Reserva,Quito Norte,Conductor frecuente; proveedor observado; dinámica incoherente; sin rastro.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-0.2804212352680134,-78.48073709063054
SIN-0036,POL-0036,ASE-B9AC3705,Vehículos,Responsabilidad Civil,2026-02-25,2026-03-05,13580.0,12901.0,0.0,Reserva,Cuenca,RC recurrente; asegurado frecuente; proveedor observado; monto alto.,sí,,2025-08-29,2026-08-29,180,185,8,0,0,-2.8993728,-78.991427
SIN-0037,POL-0037,ASE-BFA5769E,Vehículos,Robo Parcial,2026-02-25,2026-03-01,12000.0,11400.0,0.0,Reserva,Manta,Robo con demora; asegurado frecuente; docs inconsistentes; narrativa similar.,sí,,2025-08-29,2026-08-29,180,185,4,0,0,-0.9737366,-80.70687600000001
SIN-0038,POL-0038,ASE-AA0FFBFD,Vehículos,Daños,2026-02-25,2026-03-05,11000.0,10450.0,0.0,Reserva,Guayaquil Centro,"Seis señales: póliza, asegurado, conductor, proveedor, docs, reporte.",no,,2026-02-18,2027-02-18,7,358,8,0,0,-2.1547332000000003,-79.855718
SIN-0039,POL-0039,ASE-6189938B,Vehículos,Todo Riesgo,2026-02-25,2026-02-27,29100.0,27645.0,0.0,Reserva,Quito Norte,"Siete señales: frecuencias alta+alta+alta, dinámica, daño, doc, monto.",sí,,2025-08-29,2026-08-29,180,185,2,0,0,-0.3208307028484141,-78.50077905340684
SIN-0040,POL-0040,ASE-2C0F2682,Vehículos,Colisión,2026-02-25,2026-03-06,16250.0,15437.5,0.0,Reserva,Guayaquil Centro,Inicio de póliza; asegurado frecuente; proveedor observado; 7 señales.,sí,,2026-02-18,2027-02-18,7,358,9,0,0,-2.1160958400000003,-79.81937312
SIN-0041,POL-0041,ASE-2A2FDDE0,Vehículos,Robo Parcial,2026-02-25,2026-02-28,9900.0,9405.0,0.0,Reserva,Esmeraldas,Robo con demora; conductor+RC frecuentes; proveedor observado; similar.,sí,,2025-08-29,2026-08-29,180,185,3,0,0,0.991421643178037,-79.6131375944048
SIN-0042,POL-0042,ASE-0FC098B0,Vehículos,Responsabilidad Civil,2026-02-25,2026-03-07,13580.0,12901.0,0.0,Reserva,Quito Norte,RC frecuente; vehículo repetido; proveedor observado; docs inconsistentes.,no,,2025-08-29,2026-08-29,180,185,10,0,0,-0.21683606913813325,-78.46849179788877
SIN-0043,POL-0043,ASE-B94A989C,Vehículos,Pérdida Total por Robo,2026-02-25,2026-02-26,35000.0,33250.0,0.0,Reserva,Guayaquil Centro,Pérdida total del vehículo por robo; cobertura PTxRB activada.,sí,,2025-08-29,2026-08-29,180,185,1,0,1,-2.1570054,-79.901725
SIN-0044,POL-0044,ASE-40C34EB8,Vehículos,Pérdida Total por Robo,2026-02-25,2026-02-26,45000.0,42750.0,0.0,Reserva,Quito Norte,Vehículo de alta gama hurtado; cobertura PTxRB activa.,sí,,2025-08-29,2026-08-29,180,185,1,0,1,-0.08019915956067332,-78.4882928993474
SIN-0045,POL-0045,ASE-DDEA0376,Vehículos,Pérdida Total por Robo,2026-02-25,2026-03-03,30000.0,28500.0,0.0,Reserva,Manta,Vehículo robado; PTxRB con denuncia tardía.,sí,,2025-08-29,2026-08-29,180,185,6,0,1,-0.9676634949330042,-80.70040320534649
SIN-0046,POL-0046,ASE-BDE38548,Vehículos,Pérdida Total por Robo,2026-02-25,2026-02-26,40000.0,38000.0,0.0,Reserva,Cuenca,PTxRB + asegurado con historial alto + monto total.,sí,,2025-08-29,2026-08-29,180,185,1,0,1,-2.8650846,-78.9865872
SIN-0047,POL-0047,ASE-0F815548,Vehículos,Colisión,2026-02-25,2026-03-03,17500.0,16625.0,0.0,Reserva,Quito Norte,Alteración evidente en el informe de peritaje presentado.,sí,,2025-08-29,2026-08-29,180,185,6,0,1,-0.1905946239533694,-78.44501784349781
SIN-0048,POL-0048,ASE-2A71CA2A,Incendio,Todo Riesgo,2026-02-25,2026-03-05,68000.0,64600.0,0.0,Reserva,Guayaquil Centro,Informe pericial falsificado con fechas manipuladas.,sí,,2025-08-29,2026-08-29,180,185,8,0,1,-2.1553839999999997,-79.9374
SIN-0049,POL-0049,ASE-5B319499,Vehículos,Daños,2026-02-25,2026-03-06,16500.0,15675.0,0.0,Reserva,Cuenca,Historial elevado + documentación falsificada.,sí,,2025-08-29,2026-08-29,180,185,9,0,1,-2.8776219577553968,-79.0005405774583
SIN-0050,POL-0050,ASE-4C0CEC72,Vehículos,Daños,2026-02-25,2026-02-27,10800.0,10260.0,0.0,Reserva,Esmeraldas,Taller en lista restrictiva con alertas previas.,sí,,2025-08-29,2026-08-29,180,185,2,0,1,0.9422675175756956,-79.66898575848329
SIN-0051,POL-0051,ASE-CA60B674,Vida,Muerte Natural,2026-02-25,2026-03-02,45000.0,42750.0,0.0,Reserva,Guayaquil Centro,Beneficiario en lista de monitoreo antilavado.,sí,,2025-08-29,2026-08-29,180,185,5,0,1,-2.1891879999999997,-79.936056
SIN-0052,POL-0052,ASE-A132490D,Vida,Muerte Accidental,2026-02-25,2026-02-28,32000.0,30400.0,0.0,Reserva,Machala,Beneficiario identificado en lista de alerta antilavado.,sí,,2025-08-29,2026-08-29,180,185,3,0,1,-3.2780400000000003,-79.970356
SIN-0053,POL-0053,ASE-8897E2A5,Vehículos,Colisión,2026-02-25,2026-02-27,13000.0,12350.0,0.0,Reserva,Quito Norte,Proveedor restrictivo + documentación incompleta.,no,,2025-08-29,2026-08-29,180,185,2,0,1,-0.3439703837968856,-78.49189098150913
SIN-0054,POL-0054,ASE-EF7D3A7E,Vehículos,Colisión,2026-02-25,2026-02-27,18000.0,17100.0,0.0,Reserva,Quito Norte,Perito determina dinámica físicamente imposible.,sí,,2025-08-29,2026-08-29,180,185,2,0,1,-0.2974961812403055,-78.5249003705496
SIN-0055,POL-0055,ASE-BE146E79,Vehículos,Todo Riesgo,2026-02-25,2026-02-28,24000.0,22800.0,0.0,Reserva,Guayaquil Centro,Daños inconsistentes con trayectoria declarada.,sí,,2025-08-29,2026-08-29,180,185,3,0,1,-2.2173466,-79.94670620000001
SIN-0056,POL-0056,ASE-9DE90A41,Vehículos,Colisión,2026-02-25,2026-03-01,23400.0,22230.0,0.0,Reserva,Cuenca,Narrativa incoherente; dinámica imposible confirmada por perito.,sí,,2025-08-29,2026-08-29,180,185,4,0,1,-2.84257304,-78.95998928
SIN-0057,POL-0057,ASE-9F6F9EE9,Vehículos,Todo Riesgo,2026-02-25,2026-03-06,28160.0,26752.0,0.0,Reserva,Guayaquil Centro,Historial elevado; proveedor restrictivo; docs falsificados; reporte tardío.,no,,2025-08-29,2026-08-29,180,185,9,0,1,-2.045692467529817,-79.87068332309188
SIN-0058,POL-0058,ASE-0614F3B1,Vehículos,Daños,2026-02-25,2026-02-27,24250.0,23037.5,0.0,Reserva,Quito Norte,Inicio póliza + asegurado+conductor frecuentes + daño sin testigos.,sí,,2026-02-20,2027-02-20,5,360,2,0,0,-0.1682986499541684,-78.50859954588313
SIN-0059,POL-0059,ASE-4CEE277D,Vehículos,Todo Riesgo,2026-02-25,2026-03-06,29750.0,28262.5,0.0,Reserva,Guayaquil Centro,Máxima acumulación: inicio póliza + 4 frecuencias + proveedor + extras.,sí,,2026-02-18,2027-02-18,7,358,9,0,0,-2.1349972052413624,-79.79413990897986
SIN-0060,POL-0060,ASE-77B50B6B,Vehículos,Todo Riesgo,2026-02-25,2026-03-07,38800.0,36860.0,0.0,Reserva,Quito Norte,Caso de máximo riesgo: 11 señales acumuladas.,no,,2026-02-20,2027-02-20,5,360,10,0,1,-0.1905712316792945,-78.35281564896464
SIN-0061,POL-0061,ASE-84A4C145,Vehículos,Responsabilidad Civil,2026-02-25,2026-02-28,17460.0,16587.0,0.0,Reserva,Cuenca,Caso RC con 11 señales acumuladas; score 78 pts.,no,,2025-08-29,2026-08-29,180,185,3,0,1,-2.8904407599999997,-79.00874732
SIN-0062,POL-0062,ASE-7134D6BC,Vehículos,Daños,2026-02-25,2026-02-27,27160.0,25802.0,0.0,Reserva,Guayaquil Centro,Narrativa muy similar + proveedor + inconsistencias documentales.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-2.1590102,-79.91594800000001
SIN-0063,POL-0063,ASE-35BB5AE0,Vehículos,Daños Parciales,2026-02-25,2026-02-26,1860.0,1767.0,0.0,Liquidado,Santo Domingo,Raspón lateral en redondel vial. Sin lesionados. Taller autorizado.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-0.2520466393565002,-79.17609553278558
SIN-0064,POL-0064,ASE-1285CE65,Accidentes Personales,Cobertura Básica,2026-02-25,2026-02-26,720.0,684.0,648.0,Pago Total,Ibarra,Caída de motociclista; documentación completa; lesión leve.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,0.357824,-78.144804
SIN-0065,POL-0065,ASE-38B7BE0D,Vehículos,Colisión,2026-02-25,2026-02-26,1820.0,1729.0,0.0,Pago Parcial,Riobamba,Colisión menor en intersección urbana de Riobamba.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-1.6533290540341299,-78.62028990908858
SIN-0066,POL-0066,ASE-F97F982C,Incendio,Incendio y Líneas Aliadas,2026-02-25,2026-02-26,3150.0,2992.5,0.0,Liquidado,Latacunga,Cortocircuito en instalación eléctrica; daños menores; póliza vigente.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-0.946972,-78.61676
SIN-0067,POL-0067,ASE-143C7D22,Vehículos,Robo Total,2026-02-25,2026-03-02,39900.0,37905.0,0.0,Reserva,Riobamba,Toyota Hilux robada en zona periférica de Riobamba. Propietario reportó la sustracción 4 días después del hecho.,sí,,2025-08-29,2026-08-29,180,185,5,0,1,-1.6845146259920707,-78.65347715892273
SIN-0068,POL-0068,ASE-E913C667,Vehículos,Todo Riesgo,2026-02-25,2026-03-06,12100.0,11495.0,0.0,Reserva,Santo Domingo,Siniestro en semana de vigencia de póliza; conductor con historial; falta denuncia policial; reporte con nueve días de demora.,no,,2026-02-18,2027-02-18,7,358,9,0,0,-0.2396827463878846,-79.16645994062148
SIN-0069,POL-0069,ASE-B0B64350,Vehículos,Daños,2026-02-25,2026-02-27,31040.0,29488.0,0.0,Reserva,Quevedo,Chevrolet D-Max con daños extensos; peritaje indica impacto frontal sin evidencia de tercero en la escena.,sí,,2025-08-29,2026-08-29,180,185,2,0,0,-1.0211299954062178,-79.46721026519627
SIN-0070,POL-0070,ASE-9A89A45F,Incendio,Todo Riesgo,2026-02-25,2026-03-05,44000.0,41800.0,0.0,Reserva,Ibarra,Incendio en bodega de comercio en Ibarra. Falta informe de bomberos; peritaje con inconsistencias; narrativa idéntica a siniestro anterior.,no,,2025-08-29,2026-08-29,180,185,8,0,0,0.368608,-78.117008
SIN-0071,POL-0071,ASE-C689B229,Vehículos,Responsabilidad Civil,2026-02-25,2026-03-05,4000.0,3800.0,0.0,Reserva,Milagro,Tercer evento RC para el asegurado en 18 meses; proveedor vinculado a reclamaciones observadas en zona de Milagro.,sí,,2025-08-29,2026-08-29,180,185,8,0,0,-2.1161016755303352,-79.56718666017538
SIN-0072,POL-0072,ASE-BF70AFA8,Transporte,Mercancías en Tránsito,2026-02-25,2026-02-28,11700.0,11115.0,0.0,Reserva,Babahoyo,Pérdida de mercancía agrícola en ruta Babahoyo-Guayaquil. Póliza con 5 días de vigencia; guía de remisión ausente; ruta declarada inconsistente con GPS.,no,,2026-02-18,2027-02-18,7,358,3,0,0,-1.801072,-79.530844
SIN-0073,POL-0073,ASE-522B28DA,Vehículos,Daños,2026-02-25,2026-02-28,18000.0,17100.0,0.0,Reserva,Guayaquil Centro,Siniestro derivado a taller en lista restrictiva. Conductor con múltiples reclamaciones previas; narrativa muy similar a otro caso reciente.,sí,,2025-08-29,2026-08-29,180,185,3,0,1,-2.1697352000000003,-79.9196218
SIN-0074,POL-0074,ASE-CAE966D3,Vehículos,Pérdida Total por Robo,2026-02-25,2026-03-04,38000.0,36100.0,0.0,Reserva,Quito Norte,Toyota Prado reportada robada en Quito Norte. Asegurado con dos PTxRB en últimos 24 meses; denuncia ante el ECU-911 con 25 horas de demora.,sí,,2025-08-29,2026-08-29,180,185,7,0,1,-0.18002717797385087,-78.43183440926677
SIN-0075,POL-0075,ASE-D3BF7F4C,Vehículos,Colisión,2026-02-25,2026-03-01,17600.0,16720.0,0.0,Reserva,Ibarra,Perito determina que los daños son incompatibles con la dinámica declarada. Conductor con historial; documentos con fechas alteradas; descripción casi idéntica a caso SIN-F045.,sí,,2025-08-29,2026-08-29,180,185,4,0,1,0.3575293010511212,-78.11420462067682
SIN-0076,POL-0076,ASE-55674F98,Vehículos,Todo Riesgo,2026-02-25,2026-03-07,33950.0,32252.5,0.0,Reserva,Santo Domingo,Caso de máximo riesgo en Santo Domingo: 11 señales simultáneas. Póliza reciente; alta frecuencia vehículo+conductor+asegurado; taller en lista restrictiva; documentos incompletos e inconsistentes.,no,,2026-02-20,2027-02-20,5,360,10,0,1,-0.22816412774875094,-79.14830668047584
SIN-0077,POL-0077,ASE-D6EE89D1,Vehículos,Daños,2026-02-25,2026-03-06,16380.0,15561.0,0.0,Reserva,Riobamba,Peritaje con sello falsificado detectado por auditoría interna. Asegurado con cuatro siniestros previos; informe con fechas inconsistentes.,sí,,2025-08-29,2026-08-29,180,185,9,0,1,-1.6604983324281308,-78.63498874333139
SIN-0078,POL-0078,ASE-125434FD,Salud,Hospitalización,2026-02-25,2026-02-26,3600.0,3420.0,3240.0,Pago Total,Ambato,Hospitalización por apendicitis con cobertura quirúrgica. Documentación clínica completa; alta sin complicaciones.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-1.261248,-78.6321
SIN-0079,POL-0079,ASE-2BFC9751,Salud,Consulta Ambulatoria,2026-02-25,2026-03-02,1430.0,1358.5,0.0,Pago Parcial,Quito Norte,Consulta especializada en cardiología; factura presentada cinco días después.,sí,,2025-08-29,2026-08-29,180,185,5,0,0,-0.206184,-78.529236
SIN-0080,POL-0080,ASE-3F74D3B2,Salud,Hospitalización,2026-02-25,2026-02-27,8800.0,8360.0,0.0,Reserva,Guayaquil Centro,Asegurado con múltiples hospitalizaciones en la misma clínica este año. Historia clínica detallada no aportada; receta médica pendiente.,no,,2025-08-29,2026-08-29,180,185,2,0,0,-2.1737439999999997,-79.92061199999999
SIN-0081,POL-0081,ASE-36171004,Salud,Atención Quirúrgica,2026-02-25,2026-03-05,12600.0,11970.0,0.0,Reserva,Cuenca,Diagnóstico declarado no coincide con los procedimientos facturados. Fechas del informe quirúrgico previas al ingreso del paciente.,sí,,2025-08-29,2026-08-29,180,185,8,0,0,-2.919004,-79.021412
SIN-0082,POL-0082,ASE-FB9DDE36,Salud,Hospitalización,2026-02-25,2026-03-03,25200.0,23940.0,0.0,Reserva,Quito Norte,Factura hospitalaria con sello adulterado detectado en auditoría. Asegurado con cuatro hospitalizaciones previas en 18 meses.,sí,,2025-08-29,2026-08-29,180,185,6,0,1,-0.208068,-78.508772
SIN-0083,POL-0083,ASE-BA500C73,Salud,Reembolso Médico,2026-02-25,2026-03-01,17000.0,16150.0,0.0,Reserva,Manta,Centro médico identificado en lista restrictiva por reclamaciones observadas en regional Costa; reembolso por consultas no respaldadas.,sí,,2025-08-29,2026-08-29,180,185,4,0,1,-0.979768,-80.721116
SIN-0084,POL-0084,ASE-13B3DC70,Hogar,Daños por Agua,2026-02-25,2026-02-26,3960.0,3762.0,0.0,Liquidado,Quito Norte,Fuga en cañería de cocina; daño localizado en gabinetes inferiores. Peritaje rápido; documentación completa.,sí,,2025-08-29,2026-08-29,180,185,1,0,0,-0.233528,-78.531624
SIN-0085,POL-0085,ASE-C69C53A2,Hogar,Incendio y Líneas Aliadas,2026-02-25,2026-02-27,42000.0,39900.0,0.0,Reserva,Guayaquil Centro,Incendio declarado al segundo día de vigencia de la póliza de hogar. Informe de bomberos no entregado al momento del reclamo.,no,,2026-02-24,2027-02-24,1,364,2,0,0,-2.1879359999999997,-79.91339599999999
SIN-0086,POL-0086,ASE-BD054AB5,Hogar,Robo Domiciliario,2026-02-25,2026-03-03,13750.0,13062.5,0.0,Reserva,Cuenca,"Robo en vivienda con denuncia ante la policía cinco días después. Inventario presentado de memoria, sin facturas de respaldo.",sí,,2025-08-29,2026-08-29,180,185,6,0,0,-2.9184840000000003,-79.017228
SIN-0087,POL-0087,ASE-9083704B,Hogar,Incendio y Líneas Aliadas,2026-02-25,2026-03-02,77600.0,73720.0,0.0,Reserva,Guayaquil Centro,Incendio en bodega doméstica con facturas de avalúo alteradas. Monto reclamado prácticamente igual a la suma asegurada.,no,,2025-08-29,2026-08-29,180,185,5,0,1,-2.1714559999999996,-79.908444
SIN-0088,POL-0088,ASE-6B3F3A27,Hogar,Daños por Agua,2026-02-25,2026-03-01,28000.0,26600.0,0.0,Reserva,Manta,Restaurador en lista restrictiva por reclamaciones recurrentes. Cotización original modificada después del primer peritaje.,sí,,2025-08-29,2026-08-29,180,185,4,0,1,-0.956252,-80.721692
